    0.999999974737875163555145263671875000000000E-04    0.579854049682617187500000000000000000000000E+02
    0.102020130725577473640441894531250000000000E-03    0.591090164184570312500000000000000000000000E+02
    0.104081082099582999944686889648437500000000E-03    0.602543792724609375000000000000000000000000E+02
    0.106183659227099269628524780273437500000000E-03    0.614219207763671875000000000000000000000000E+02
    0.108328706119209527969360351562500000000000E-03    0.626120605468750000000000000000000000000000E+02
    0.110517095890827476978302001953125000000000E-03    0.638252372741699218750000000000000000000000E+02
    0.112749679828993976116180419921875000000000E-03    0.650618972778320312500000000000000000000000E+02
    0.115027374704368412494659423828125000000000E-03    0.663224945068359375000000000000000000000000E+02
    0.117351090011652559041976928710937500000000E-03    0.676074829101562500000000000000000000000000E+02
    0.119721727969590574502944946289062500000000E-03    0.689173431396484375000000000000000000000000E+02
    0.122140278108417987823486328125000000000000E-03    0.702525482177734375000000000000000000000000E+02
    0.124607671750709414482116699218750000000000E-03    0.716135864257812500000000000000000000000000E+02
    0.127124920254573225975036621093750000000000E-03    0.730009613037109375000000000000000000000000E+02
    0.129692998598329722881317138671875000000000E-03    0.744151763916015625000000000000000000000000E+02
    0.132312969071790575981140136718750000000000E-03    0.758567504882812500000000000000000000000000E+02
    0.134985879412852227687835693359375000000000E-03    0.773262100219726562500000000000000000000000E+02
    0.137712777359411120414733886718750000000000E-03    0.788240890502929687500000000000000000000000E+02
    0.140494754305109381675720214843750000000000E-03    0.803509368896484375000000000000000000000000E+02
    0.143332930747419595718383789062500000000000E-03    0.819073181152343750000000000000000000000000E+02
    0.146228456287644803524017333984375000000000E-03    0.834937820434570312500000000000000000000000E+02
    0.149182465975172817707061767578125000000000E-03    0.851109313964843750000000000000000000000000E+02
    0.152196153067052364349365234375000000000000E-03    0.867593307495117187500000000000000000000000E+02
    0.155270710820332169532775878906250000000000E-03    0.884396057128906250000000000000000000000000E+02
    0.158407390699721872806549072265625000000000E-03    0.901523437500000000000000000000000000000000E+02
    0.161607444169931113719940185546875000000000E-03    0.918981857299804687500000000000000000000000E+02
    0.164872122695669531822204589843750000000000E-03    0.936777572631835937500000000000000000000000E+02
    0.168202750501222908496856689453125000000000E-03    0.954917144775390625000000000000000000000000E+02
    0.171600666362792253494262695312500000000000E-03    0.973407135009765625000000000000000000000000E+02
    0.175067238160409033298492431640625000000000E-03    0.992254257202148437500000000000000000000000E+02
    0.178603833774104714393615722656250000000000E-03    0.101146530151367187500000000000000000000000E+03
    0.182211864739656448364257812500000000000000E-03    0.103104736328125000000000000000000000000000E+03
    0.185892800800502300262451171875000000000000E-03    0.105100738525390625000000000000000000000000E+03
    0.189648068044334650039672851562500000000000E-03    0.107135276794433593750000000000000000000000E+03
    0.193479223526082932949066162109375000000000E-03    0.109209083557128906250000000000000000000000E+03
